"Code","Waarde","DatumVanaf","DatumTot","Toelichting"
"WNC","Wet natuurbescherming: Verbod vellen houtopstanden","2020-01-01","2023-07-01","Wet natuurbescherming: (artikel 4.2, derde lid) bij besluit van gedeputeerde staten of de Minister van Economische Zaken en Klimaat (krachtens artikel 1.3, vijfde lid) opgelegd verbod op het vellen van houtopstanden"
"WA","Aanschrijving, Woningwet","1900-01-01","2020-01-01","Woningwet: Aanschrijven treffen voorzieningen"
"WGA","Wet agrarisch grondverkeer: Aanwijzing landgoed","2020-01-01",,"Wet agrarisch grondverkeer: (artikel 7) aanwijzing als landgoed door de Minister van Onderwijs, Cultuur en Wetenschap in overeenstemming met de Minister van Landbouw, Natuur en Voedselkwaliteit"
"WGB","Wet agrarisch grondverkeer: Vestiging voorkeursrecht bij KB","2020-01-01",,"Wet agrarisch grondverkeer: (artikel 37, derde lid) vestiging van een voorkeursrecht bij koninklijk besluit"
"EW","Gedoogplicht archeologisch onderzoek, Erfgoedwet","1900-01-01","2020-01-01","Gedoogplicht archeologisch onderzoek, Erfgoedwet"
"EWA","Erfgoedwet: Voorschriften uitvoering of last tot stillegging werk door minister OCW","2020-01-01",,"Erfgoedwet: (artikel 9.1, eerste lid, van de Erfgoedwet in samenhang met artikel 56 van de Monumentenwet 1988 zoals die wet luidde voor inwerkingtreding van de Erfgoedwet) voorschriften van de Minister van Onderwijs, Cultuur en Wetenschap met betrekking tot de uitvoering van een werk dan wel een last tot stillegging van een werk"
"EWB","Erfgoedwet: Gedoogplicht archeologisch onderzoek opgelegd door minister OCW ","2020-01-01","2023-07-01","Erfgoedwet: (artikel 9.1, eerste lid, van de Erfgoedwet in samenhang met artikel 57, eerste lid, van de Monumentenwet 1988 zoals die wet luidde voor inwerkingtreding van de Erfgoedwet) door de Minister van Onderwijs, Cultuur en Wetenschap opgelegde gedoogplicht inhoudend dat een rechthebbende ten aanzien van een terrein moet dulden dat dat terrein in het belang van een archeologisch onderzoek wordt betreden, dat daarop metingen worden verricht dan wel daarin opgravingen worden gedaan"
"EWC","Erfgoedwet: Gedoogplicht archeologisch onderzoek opgelegd door bestuursorgaan ","2020-01-01","2023-07-01","Erfgoedwet: (artikel 9.1, eerste lid, van de Erfgoedwet in samenhang met artikel 57, tweede lid, van de Monumentenwet 1988 zoals die wet luidde voor inwerkingtreding van de Erfgoedwet) door een bestuursorgaan ter voorbereiding of uitvoering van een bestemmingsplan als bedoeld in artikel 3.1 van de Wet ruimtelijke ordening, een beheersverordening als bedoeld in artikel 3.38 van die wet of een omgevingsvergunning voor een activiteit als bedoeld in artikel 2.1, eerste lid, onderdeel c, van de Wet algemene bepalingen omgevingsrecht opgelegde gedoogplicht inhoudend dat een rechthebbende ten aanzien van een terrein moet dulden dat een terrein in het belang van archeologisch onderzoek wordt betreden, dat daarop metingen worden verricht dan wel dat daarin opgravingen worden gedaan"
"EWD","Erfgoedwet: Toezending ontwerpbesluit aanwijzing rijksmonument door minister OCW (voorbescherming)","2020-01-01",,"Erfgoedwet: (wet artikel 1, onderdeel b, sub 2o) een toezending van een ontwerpbesluit door Onze Minister van Onderwijs, Cultuur en Wetenschap als bedoeld in artikel 3.2, eerste lid, van de Erfgoedwet, in samenhang met artikel 3:13, eerste lid, van de Algemene wet bestuursrecht"
"EWE","Erfgoedwet: Afschrift inschrijving monument of archeologisch monument in rijksmonumentenregister door minister OCW","2020-01-01",,"Erfgoedwet: (wet artikel 1, onderdeel b, sub 3o) een afschrift van een inschrijving door Onze Minister van Onderwijs, Cultuur en Wetenschap van een als rijksmonument aangewezen monument of archeologisch monument in het rijksmonumentenregister, bedoeld in artikel 1.1 van de Erfgoedwet"
"MW","Besluit op basis van Monumentenwet 1988","1900-01-01","2020-01-01","Besluit op basis van Monumentenwet 1988"
"BG","Besluit op basis van Belemmeringenwet Privaatrecht","1900-01-01","2020-01-01","Besluit op basis van Belemmeringenwet Privaatrecht"
"BPA","Belemmeringenwet Privaatrecht: Gedoogplicht","2020-01-01","2023-07-01","Belemmeringenwet Privaatrecht: (artikelen 2, vijfde lid, en 3, tweede lid) door de Minister van Infrastructuur en Waterstaat opgelegde gedoogplichten"
"BPB","Belemmeringenwet Privaatrecht: Bevel verplaatsing werk","2020-01-01","2023-07-01","Belemmeringenwet Privaatrecht: (artikel 5) bevel van de Minister van Infrastructuur en Waterstaat tot verplaatsing van een werk"
"GO","Gedoogplicht Ontgrondingenwet","1900-01-01","2020-01-01","Gedoogplicht Ontgrondingenwet"
"OGA","Ontgrondingenwet: Gedoogplicht","2020-01-01","2023-07-01","Ontgrondingenwet: (artikel 21g) door de Minister van Infrastructuur en Waterstaat of gedeputeerde staten opgelegde gedoogplicht"
"WT","Bevel of gedoogplicht, Waterwet","1900-01-01","2020-01-01","Bevel of gedoogplicht, Waterwet"
"WTA","Waterwet: Bevel bij ongewoon voorval","2020-01-01","2023-07-01","Waterwet: (artikel 5.15 juncto artikel 30 van de Wet bodembescherming) maatregel (bevel) van de beheerder bij een ongewoon voorval"
"WTB","Waterwet: Bevel verrichten onderzoek en tijdelijke beveiligingsmaatregelen","2020-01-01","2023-07-01","Waterwet: (artikel 5.16) bevel van de beheerder tot het verrichten van onderzoek en tot het treffen van tijdelijke beveiligingsmaatregelen"
"WTC","Waterwet: Gedoogplicht onderzoek of waterstaatswerk","2020-01-01",,"Waterwet: (artikelen 5.21 en 5.24) door de beheerder opgelegde gedoogplichten"
"OS","Sluiting object, Opiumwet","1900-01-01","2020-01-01","Sluiting object, Opiumwet"
"OPA","Opiumwet: Sluiting object","2020-01-01",,"Opiumwet: (artikel 13b, eerste lid) besluit van de burgemeester tot oplegging van een last onder bestuursdwang, indien dat besluit strekt tot sluiting van het betreffende object"
"HS","Huisvestingsverordening, splitsingsvergunningstelsel, Huisvestingswet 2014","1900-01-01","2020-01-01","Huisvestingsverordening, splitsingsvergunningstelsel, Huisvestingswet 2014"
"HVA","Huisvestingswet 2014: Vaststelling huisvestingsverordening inzake vergunningenstelsel splitsing ","2020-01-01",,"Huisvestingswet 2014: (artikelen 4 en 22) vaststelling huisvestingsverordening (aanwijzing categorie gebouwen waarvoor het in artikel 22 bedoelde vergunningenstelsel inzake splitsing in appartementsrechten geldt)"
"OH","Bestuursdwangbesluit of dwangsombesluit, Wet algemene bepalingen omgevingsrecht","1900-01-01","2020-01-01","Bestuursdwangbesluit of dwangsombesluit, Wet algemene bepalingen omgevingsrecht"
"WOA","Wet algemene bepalingen omgevingsrecht: Oplegging last onder bestuursdwang en/of dwangsom dat ook geldt voor rechtsopvolgers","2020-01-01","2023-07-01","Wet algemene bepalingen omgevingsrecht: (artikel 5.2 juncto het bepaalde bij of krachtens de Wet algemene bepalingen omgevingsrecht en artikel 5.18) besluit tot oplegging van een last onder bestuursdwang, respectievelijk besluit tot oplegging van een last onder dwangsom van het bevoegd gezag, gericht op naleving van het bepaalde bij of krachtens de Wet algemene bepalingen omgevingsrecht, voor zover bij dat besluit met toepassing van artikel 5.18, eerste volzin, van die wet is bepaald dat het besluit mede geldt jegens de rechtsopvolger van degene aan wie het besluit is opgelegd alsmede jegens iedere verdere rechtsopvolger"
"WOB","Wet algemene bepalingen omgevingsrecht: Oplegging last onder bestuursdwang en/of dwangsom, niet geldend voor rechtsopvolgers","2020-01-01","2023-07-01","Wet algemene bepalingen omgevingsrecht: (artikel 5.24 juncto het bepaalde bij of krachtens de Wet algemene bepalingen omgevingsrecht) vorderingsbesluit van de Minister van Binnenlandse Zaken en Koninkrijksrelaties tot oplegging van een last onder bestuursdwang, respectievelijk last onder dwangsom door het bevoegd gezag gericht op naleving van het bepaalde bij of krachtens de Wet algemene bepalingen omgevingsrecht"
"KW","Kennisgeving, vordering, bevel of beschikking, Wet Bodembescherming","1900-01-01","2020-01-01","Kennisgeving, melding, vordering, bevel of beschikking, Wet Bodembescherming"
"WBA","Wet bodembescherming: Beschikking geval ernstige verontreiniging en mogelijk noodzaak spoedige sanering","2020-01-01","2023-07-01","Wet bodembescherming: (artikel 29, eerste lid, juncto artikel 37, eerste lid) beschikking van gedeputeerde staten dat sprake is van een geval van ernstige verontreiniging, al dan niet met zodanige risico’s dat spoedige sanering noodzakelijk is"
"WBB","Wet bodembescherming: Bevel ongewoon voorval","2020-01-01","2023-07-01","Wet bodembescherming: (artikel 30 juncto artikel 31) maatregel (bevel) van gedeputeerde staten (artikel 30) (eventueel vooruitlopend daarop: van de commissaris van de Koning (artikel 31)) bij een ongewoon voorval"
"WBC","Wet bodembescherming: Instemming verslag uniforme sanering","2020-01-01","2023-07-01","Wet bodembescherming: (artikel 39b juncto artikel 14 van het Besluit uniforme saneringen) beschikking van gedeputeerde staten houdende instemming met het verslag van een uniforme sanering als bedoeld in artikel 39b, indien sprake is geweest van de saneringsaanpak, bedoeld in artikel 3, eerste lid, onder c, van het Besluit uniforme saneringen, of van een combinatie van de saneringsaanpakken, bedoeld in artikel 3, eerste lid, onder b en c, van het Besluit uniforme saneringen"
"WBD","Wet bodembescherming: Instemming verslag ","2020-01-01","2023-07-01","Wet bodembescherming: (artikel 39c, tweede lid) beschikking van gedeputeerde staten, houdende instemming met het verslag, bedoeld in artikel 39c, eerste lid, indien in dat verslag beperkingen in het gebruik van de bodem zijn beschreven"
"WBE","Wet bodembescherming: Instemming nazorgplan","2020-01-01","2023-07-01","Wet bodembescherming: (artikel 39d, derde lid) beschikking van gedeputeerde staten, houdende instemming met het nazorgplan"
"WBF","Wet bodembescherming: Bevel tijdelijke beveiligingsmaatregelen, onderzoek, beheren of saneren","2020-01-01","2023-07-01","Wet bodembescherming: (artikel 43) bevel van gedeputeerde staten tot tijdelijke beveiligingsmaatregelen, tot het verrichten van onderzoek, tot het beheren of saneren van de bodem en overige daar genoemde beschikkingen"
"WBG","Wet bodembescherming: Maatregel bevel","2020-01-01","2023-07-01","Wet bodembescherming: (artikel 49) maatregel (bevel) van gedeputeerde staten"
"WBH","Wet bodembescherming: Vordering eigendom, gebruik of rechten","2020-01-01","2023-07-01","Wet bodembescherming: (artikel 50) vordering van eigendom of gebruik van onroerende zaken, of van beperkte rechten waaraan onroerende zaken zijn onderworpen, dan wel het gebruik daarvan, door de Minister van Infrastructuur en Waterstaat"
"WBI","Wet bodembescherming: Uitoefening bevoegdheden vier grote steden of andere aan te wijzen gemeenten of plusregio","2020-01-01","2023-07-01","Wet bodembescherming: (artikel 88) uitoefening bevoegdheden als bedoeld in de artikelen 29, 30, 31, 37, 39b, 39c, 39d, 43 en 49, door de gemeenten Amsterdam, ’s-Gravenhage, Rotterdam en Utrecht of een andere gemeente die is aangewezen op grond van artikel 88, zevende lid, dan wel door een plusregio als bedoeld in artikel 88, tweede lid"
"GL","Gedoogplicht Wet inzake de luchtverontreiniging","1900-01-01","2020-01-01","Gedoogplicht Wet inzake de luchtverontreiniging"
"WLA","Wet inzake de luchtverontreiniging: Gedoogplicht meting luchtverontreiniging","2020-01-01","2023-07-01","Wet inzake de luchtverontreiniging: (artikel 60) door de Minister van  Infrastructuur en Waterstaat opgelegde gedoogplicht voor zover deze betreft het gebruik maken van onroerende zaken ten behoeve van het bepalen van luchtverontreiniging"
"EP","Exploitatieplan, Wet ruimtelijke ordening","1900-01-01","2020-01-01","Exploitatieplan, Wet ruimtelijke ordening"
"WRA","Wet ruimtelijke ordening: Exploitatieplan","2020-01-01","2023-07-01","Wet ruimtelijke ordening: (artikel 6.12 juncto artikel 6.25) door het bevoegd gezag, bedoeld in artikel 6.12 dan wel 6.25, vastgesteld exploitatieplan, voor zover op grond daarvan de verplichting bestaat aan een omgevingsvergunning een voorschrift tot betaling van een exploitatiebijdrage te verbinden"
"VI","Aanwijzing van gronden, Wet voorkeursrecht gemeenten","1900-01-01","2020-01-01","Wet voorkeursrecht gemeenten: (artikel 2, in samenhang met artikel 3, 4 of 5) aanwijzing van gronden bij besluit van de gemeenteraad"
"WVA","Wet voorkeursrecht gemeenten: Besluit aanwijzing gronden","2020-01-01","2023-07-01","Wet voorkeursrecht gemeenten: (artikel 2, in samenhang met artikel 3, 4 of 5) aanwijzing van gronden bij besluit van de gemeenteraad"
"VV","Voorstel tot dan wel voorlopige aanwijzing van gronden, Wet voorkeursrecht gemeenten","1900-01-01","2020-01-01","Wet voorkeursrecht gemeenten: (artikel 6) voorlopige aanwijzing van gronden bij besluit van burgemeester en wethouders"
"WVB","Wet voorkeursrecht gemeenten: Voorstel aanwijzing gronden","2020-01-01","2023-07-01","Wet voorkeursrecht gemeenten: (artikel 6) voorlopige aanwijzing van gronden bij besluit van burgemeester en wethouders"
"WV","Plicht tot het treffen van voorzieningen, Woningwet","1900-01-01","2020-01-01","Woningwet: (artikel 13) door het bevoegd gezag opgelegde plicht tot het treffen van voorzieningen tot op ten hoogste nieuwbouwniveau met betrekking tot een bestaand gebouw of ander bouwwerk, niet zijnde een gebouw"
"WWA","Woningwet: Plicht treffen voorzieningen tot niveau nieuwbouw","2020-01-01","2023-07-01","Woningwet: (artikel 13) door het bevoegd gezag opgelegde plicht tot het treffen van voorzieningen tot op ten hoogste nieuwbouwniveau met betrekking tot een bestaand gebouw of ander bouwwerk, niet zijnde een gebouw"
"WE","Plicht tot het treffen van voorzieningen ten behoeve van eisen van welstand, Woningwet","1900-01-01","2020-01-01","Woningwet: (artikel 13a) door het bevoegd gezag opgelegde plicht tot het treffen van voorzieningen om een bouwwerk in overeenstemming te brengen met redelijke eisen van welstand"
"WWB","Woningwet: Plicht treffen voorzieningen welstand","2020-01-01","2023-07-01","Woningwet: (artikel 13a) door het bevoegd gezag opgelegde plicht tot het treffen van voorzieningen om een bouwwerk in overeenstemming te brengen met redelijke eisen van welstand"
"WG","Plicht tot gebruik of beheer door derden, Woningwet","1900-01-01","2020-01-01","Woningwet: (artikel 13b) door het bevoegd gezag opgelegde plicht om een in dat artikel genoemd object aan een ander in gebruik of beheer te geven"
"WWC","Woningwet: Plicht ingebruikgeving object aan een ander","2020-01-01",,"Woningwet: (artikel 13b) door het bevoegd gezag opgelegde plicht om een in dat artikel genoemd object aan een ander in gebruik of beheer te geven"
"WI","Sluiting gebouw, open erf of terrein, Woningwet","1900-01-01","2020-01-01","Woningwet: (artikel 17) besluit van het bevoegd gezag tot het sluiten van een gebouw, open erf of terrein"
"WWD","Woningwet: Sluiting object","2020-01-01",,"Woningwet: (artikel 17) besluit van het bevoegd gezag tot het sluiten van een gebouw, open erf of terrein"
"WU","Bestuursdwangbesluit of dwangsombesluit, Woningwet","1900-01-01","2020-01-01","Woningwet: (artikel 92 juncto de hoofdstukken I tot en met III van de Woningwet en artikel 5.18 van de Wet algemene bepalingen omgevingsrecht) besluit tot oplegging van een last onder bestuursdwang, respectievelijk besluit tot oplegging van een last onder dwangsom van het bevoegd gezag, gericht op naleving van het bepaalde bij of krachtens de hoofdstukken I, II of III van de Woningwet, voor zover bij dat besluit met toepassing van artikel 5.18, eerste volzin, van de Wet algemene bepalingen omgevingsrecht is bepaald dat het besluit mede geldt jegens de rechtsopvolger van degene aan wie het besluit is opgelegd alsmede jegens iedere verdere rechtsopvolger"
"WWE","Woningwet: Oplegging last onder bestuursdwang en/of dwangsom dat ook geldt voor rechtsopvolgers","2020-01-01","2023-07-01","Woningwet: (artikel 92 juncto de hoofdstukken I tot en met III van de Woningwet en artikel 5.18 van de Wet algemene bepalingen omgevingsrecht) besluit tot oplegging van een last onder bestuursdwang, respectievelijk besluit tot oplegging van een last onder dwangsom van het bevoegd gezag, gericht op naleving van het bepaalde bij of krachtens de hoofdstukken I, II of III van de Woningwet, voor zover bij dat besluit met toepassing van artikel 5.18, eerste volzin, van de Wet algemene bepalingen omgevingsrecht is bepaald dat het besluit mede geldt jegens de rechtsopvolger van degene aan wie het besluit is opgelegd alsmede jegens iedere verdere rechtsopvolger"
"WWF","Woningwet: Oplegging last onder bestuursdwang en/of dwangsom niet geldend voor rechtsopvolgers","2020-01-01","2023-07-01","Woningwet: (artikel 92 juncto de hoofdstukken I tot en met III van de Woningwet en artikel 5.24 van de Wet algemene bepalingen omgevingsrecht) vorderingsbesluit van de Minister van Binnenlandse Zaken en Koninkrijksrelaties tot oplegging van een last onder bestuursdwang, respectievelijk last onder dwangsom door het bevoegd gezag gericht op naleving van het bepaalde bij of krachtens de hoofdstukken I, II of III van de Woningwet"
"WW","Besluit op basis van Woningwet ","1900-01-01","2020-01-01","Besluit op basis van Woningwet "
"BF","Beschermde leefomgeving Flora- en Faunawet","1900-01-01","2020-01-01","Beschermde leefomgeving Flora- en Faunawet"
